the,and,of,to,a,in,i,he,was,that,it,his,had,with,you,as,for,her,she,but,at,not,on,is,be,him,my,have,they,said,by,me,all,this,which,from,were,so,one,there,when,we,no,would,if,or,their,an,them,what,been,who,out,up,are,then,could,will,into,man,do,more,now,very,little,upon,some,your,about,like,time,did,than,mr,see,down,know,before,any,only,well,over,after,other,made,came,good,two,never,come
0.1599880233544588,0.05743799590797944,0.04865512251110335,0.05818653625430411,0.044712810020460104,0.02784570088327761,0.026847647088178054,0.02849443585009232,0.03632915814162383,0.02006088128150107,0.020460102799540896,0.016867109137182493,0.014122461200658715,0.011826937471929738,0.014970806926493338,0.018214481760566895,0.01831428714007685,0.0038425071111332903,0.0035929936623584013,0.014821098857228404,0.011327910574379959,0.00973102450222067,0.01631817954987774,0.0071859873247168025,0.012475672438744449,0.0030440640750536456,0.004341534008683068,0.009431608363690802,0.01676730375767254,0.002594939867258845,0.006836668496431958,0.0029941613852986675,0.0062378362193722245,0.005988322770597335,0.00518987973451769,0.008882678776386047,0.011627326712909825,0.0043914366984380455,0.00563900394231249,0.008982484155896003,0.004191825939418135,0.013423823544089027,0.007685014222266581,0.00518987973451769,0.0075852088427566244,0.003443285593093468,0.003992215180398224,0.00543939318329258,0.003193772144318579,0.005589101252557513,0.005239782424272668,0.0038425071111332903,0.005988322770597335,0.004591047457457957,0.005090074355007735,0.005090074355007735,0.00633764159888218,0.00563900394231249,0.004092020559908179,0.0013473726233844004,0.004890463595987824,0.004491242077948002,0.00249513448774889,0.0014970806926493337,0.0027945506262787565,0.00029941613852986677,0.005040171665252757,0.0027446479365237785,0.005589101252557513,0.003093966764808623,0.0022955237287289785,0.004042117870153202,0.002594939867258845,0.003293577523828534,0.003543090972603423,0.002694745246768801,0.0017465941414242228,0.0020460102799540894,0.002594939867258845,0.0027945506262787565,0.0043914366984380455,0.003193772144318579,0.0043914366984380455,0.0017964968311792006,0.002594939867258845,0.002445231797993912,0.0025450371775038675,0.0018463995209341783,0.0008483457258346225,0.0027945506262787565
0.13909872362594425,0.058921594165147174,0.0466788226100547,0.057879656160458454,0.0492836676217765,0.02834071372753321,0.029643136233394114,0.039645741078405836,0.0332378223495702,0.02005730659025788,0.022870539202917428,0.026934097421203437,0.016150039072675176,0.011773899452982548,0.020265694191195623,0.017504558478770513,0.017765042979942695,0.001094034904923157,0.0015629070070330815,0.01599374837197187,0.010210992445949465,0.010054701745246157,0.01755665537900495,0.006251628028132326,0.009742120343839542,0.004063558218286012,0.008908569940088564,0.00963792654337067,0.011148736650169315,0.0028653295128939827,0.005834852826256838,0.003125814014066163,0.006772597030476686,0.005991143526960146,0.004740817921333681,0.008804376139619693,0.009064860640791874,0.005001302422505861,0.0075019536337587915,0.006928887731179995,0.0066163063297733785,0.008804376139619693,0.005001302422505861,0.005365980724146914,0.006512112529304506,0.004584527220630372,0.003073717113831727,0.0055222714248502214,0.0025527481114873663,0.006095337327429018,0.004324042719458192,0.003073717113831727,0.0057306590257879654,0.005626465225319094,0.003282104714769471,0.004167752018754884,0.005157593123209169,0.005105496222974733,0.0035946861161760876,0.001146131805157593,0.004845011721802552,0.004949205522271425,0.0035946861161760876,0.0017712946079708257,0.0025006512112529305,0.00046887210210992447,0.007970825735868716,0.0027611357124251107,0.0034383954154727794,0.0023964574107840585,0.0024485543110184943,0.005418077624381349,0.003282104714769471,0.0038030737171138316,0.00421984891898932,0.0026569419119562387,0.0029695233133628547,0.0019275853086741339,0.0027611357124251107,0.0016150039072675177,0.0034904923157072156,0.005105496222974733,0.0034904923157072156,0.0017712946079708257,0.0026569419119562387,0.003125814014066163,0.002917426413128419,0.0035425892159416513,0.001146131805157593,0.0027090388121906745
0.13699152865755934,0.07471571395863542,0.04403571701137144,0.053232084255514005,0.04834770663206899,0.027054872929863392,0.02835228573609097,0.023124475310997483,0.02018621689689384,0.020873082500190796,0.01835457528810196,0.013737312065939098,0.013088605662825306,0.014805769671067694,0.02377318171411127,0.014157063267953903,0.01457681446996871,0.00843318324047928,0.010760894451652294,0.01808746088681981,0.009768755246890025,0.008700297641761428,0.008738456841944593,0.01640845607876059,0.009845073647256354,0.0050751736243608335,0.008547660841028771,0.00797527283828131,0.016217660077844767,0.012439899259711517,0.004922536823628177,0.005265969625276654,0.011409600854766085,0.009005571243226741,0.006944974433335877,0.006983133633519042,0.00816606883919713,0.01274517286117683,0.008547660841028771,0.005265969625276654,0.005647561627108296,0.008127909639013966,0.00751736243608334,0.004464626421430207,0.007402884835533847,0.004083034419598565,0.004159352819964894,0.002900099213920476,0.004464626421430207,0.005800198427840952,0.0034724872166679386,0.005952835228573609,0.003815920018316416,0.004083034419598565,0.007173929634434862,0.007212088834618027,0.0038922384186827444,0.005723880027474624,0.002442188811722506,0.003548805617034267,0.004998855223994505,0.003319850415935282,0.0038922384186827444,0.0050751736243608335,0.004693581622529192,0.001907960009158208,0.004083034419598565,0.0046172632221628635,0.0022895520109898495,0.0025566664122719986,0.0020224376097077003,0.0025566664122719986,0.002900099213920476,7.631840036632832e-05,0.003777760818133252,0.002404029611539342,0.0022895520109898495,0.002213233610623521,0.003129054415019461,0.0023277112111730136,0.0029382584141036403,0.0023277112111730136,0.0018698008089750439,0.0025566664122719986,0.004273830420514386,0.003129054415019461,0.0034343280164847744,0.001679004808059223,0.0032053728153857894,0.001907960009158208
0.12338691419515509,0.08023545392800543,0.04754358161648178,0.05555807108897442,0.04260810504867557,0.028526148969889066,0.025990491283676705,0.025356576862123614,0.023273715191306315,0.02042110029431741,0.014896988906497623,0.02069277790355445,0.013221643649535883,0.011908535204890196,0.018157120217342088,0.014987548109576636,0.014580031695721078,0.011636857595653157,0.010867104369481548,0.019198551052750736,0.010640706361784016,0.01073126556486303,0.005659950192438306,0.01480642970341861,0.00919175911251981,0.005026035770885216,0.010504867557165497,0.007063617840163006,0.014715870500339597,0.01213493321258773,0.00624858501245189,0.004392121349332126,0.011772696400271678,0.011727416798732172,0.00498075616934571,0.0068372198324654744,0.009237038714059316,0.012678288431061807,0.008467285487887707,0.0056146705908988,0.0062938646139913965,0.008059769074032148,0.007425854652479059,0.004392121349332126,0.005931627801675345,0.0037582069277790355,0.0068372198324654744,0.004392121349332126,0.00624858501245189,0.0038487661308580483,0.0032601313108444646,0.006973058637083994,0.0041657233416345935,0.0034412497170024903,0.007561693457097577,0.0070183382386235,0.0042110029431741,0.005659950192438306,0.004754358161648178,0.003486529318541997,0.005207154177043242,0.003169572107765452,0.004799637763187684,0.003984604935476568,0.004120443740095087,0.0055241113878197875,0.002490378084672855,0.006112746207833371,0.0020375820692777906,0.0027620556939098938,0.0026262168892913743,0.0025356576862123614,0.0026262168892913743,9.05592030790129e-05,0.0029431741000679195,0.0025809372877518676,0.0016300656554222323,0.002309259678514829,0.003214851709304958,0.0030337333031469323,0.003079012904686439,0.0026262168892913743,0.0025356576862123614,0.002309259678514829,0.0026262168892913743,0.0026262168892913743,0.0022639800769753225,0.0008150328277111162,0.002490378084672855,0.0016300656554222323
0.1242192167725816,0.058389006572157946,0.04035630872847754,0.059420998316223994,0.04714572809733312,0.03199174406604747,0.03177448264624409,0.045950790288414534,0.03242626690565423,0.01922763565259899,0.022377926239747978,0.025473901471946118,0.015534191515941556,0.01167780131443159,0.019173320297648146,0.01852153603823801,0.017598175004073652,0.0030416598772472977,0.0026614523925913855,0.014991037966433111,0.009124979631741893,0.009776763891152028,0.015099668676334799,0.011026017055021455,0.01097170170007061,0.005322904785182771,0.008364564662430069,0.009342241051545273,0.007712780403019934,0.005920373689642062,0.0051056433653793925,0.003856390201509967,0.0060833197544945955,0.004345228396067568,0.00472543588072348,0.007278257563413177,0.006789419368855575,0.005757427624789528,0.0075498343381673995,0.008038672532725001,0.005485850850035305,0.005485850850035305,0.007115311498560643,0.005648796914887838,0.008310249307479225,0.004073651621313346,0.001901037423279561,0.005703112269838683,0.001955352778230406,0.007386888273314866,0.005431535495084461,0.005268589430231926,0.00684373472380642,0.005866058334691217,0.0036391287817065885,0.006735104013904731,0.005431535495084461,0.005159958720330237,0.002770083102493075,0.0017380913584270274,0.005648796914887838,0.004345228396067568,0.0035304980718048992,0.0030959752321981426,0.004019336266362501,0.00043452283960675685,0.006898050078757265,0.0035848134267557437,0.0060833197544945955,0.0037477594916082778,0.0029873445222964533,0.004942697300526859,0.0026614523925913855,0.0035304980718048992,0.005322904785182771,0.0021182988430829396,0.0033132366520015207,0.002172614198033784,0.003693444136657433,0.002607137037640541,0.004236597686165879,0.004236597686165879,0.004182282331215034,0.001086307099016892,0.002770083102493075,0.0033675520069523656,0.0017380913584270274,0.0017380913584270274,0.0020639834881320948,0.0037477594916082778
0.13555855143879875,0.07572869694574869,0.04369857282320673,0.05741248663474501,0.04411696341406722,0.02933382920366324,0.0237088001487611,0.021849286411603365,0.025893728789921435,0.02217470131560597,0.02008274836130352,0.015433964018409185,0.01548045186183813,0.013574450281251453,0.016084793826414392,0.015526939705267072,0.013574450281251453,0.011947375761238437,0.013434986750964623,0.019013527962437823,0.011528985170377946,0.009576495746362327,0.008600251034354515,0.009855422806935986,0.007391567105201989,0.005578541211473199,0.007019664357770443,0.00543907768118637,0.01771186834642741,0.009576495746362327,0.005903956115475803,0.0040909302217470135,0.01004137418065176,0.011389521640091117,0.005578541211473199,0.00822834828692297,0.009251080842359724,0.014550694993259262,0.006508298080052067,0.0037190274743154664,0.007298591418344103,0.00878620240807029,0.00683371298405467,0.004369857282320673,0.006229371019478407,0.004230393752033843,0.006043419645762633,0.00362605178745758,0.005810980428617917,0.0047882478731811635,0.003951466691460183,0.00516015062061271,0.00446283296917856,0.0042768815954627865,0.006182883176049463,0.006926688670912557,0.0042768815954627865,0.0037190274743154664,0.00446283296917856,0.00376551531774441,0.004416345125749617,0.0027427827623076567,0.0038120031611733533,0.00460229649946539,0.00613639533262052,0.00404444237831807,0.002975221979452373,0.003393612570312863,0.0024638557017339965,0.0034401004137418066,0.002835758449165543,0.0030217098228813165,0.002277904328018223,0.00013946353028683,0.00362605178745758,0.0031611733531681464,0.0017200502068709033,0.00292873413602343,0.002417367858305053,0.00209195295430245,0.0026033192320208264,0.004137418065175956,0.0028822462925944866,0.00209195295430245,0.0031146855097392034,0.0025568313885918834,0.0034401004137418066,0.0020454651108735068,0.0024638557017339965,0.0020454651108735068
0.1465454419266405,0.06855328451955443,0.07271749314640663,0.05344067737793663,0.051254467848839226,0.04096540236665857,0.01561578235069577,0.024933199153277578,0.02517611132317729,0.022816393101294376,0.020265815317347398,0.01584134365131693,0.014696186278932575,0.015268764965124753,0.00933476767186036,0.01540757191935316,0.016691536245965925,0.013498976298712566,0.012631432834785022,0.01094839851476559,0.012336468057049658,0.008397820730818614,0.014245063677690252,0.015962799736266787,0.009300065933303259,0.004493875143144672,0.0029149460387965435,0.007165909012041503,0.006975049449977444,0.0024638234375542216,0.008606031162161224,0.0033313669014817643,0.0064024707637852655,0.008831592462782385,0.0063504181559496135,0.009057153763403547,0.0064024707637852655,0.0057431377312003335,0.007998750737411945,0.006818891626470486,0.006575979456570774,0.009282715064024708,0.006072804247492799,0.004129506888295104,0.0040948051497380015,0.006922996842141791,0.0037998403720026375,0.0071312072734844014,0.0029669986466321963,0.005170559045008155,0.0050144012215011975,0.0044591734045875695,0.005118506437172502,0.005292015129958011,0.0056737342540861295,0.003990699934066697,0.0036957351563313323,0.0033140160322032135,0.005205260783565257,0.0033834195093174167,0.0025679286532255268,0.004146857757573654,0.002307665614047264,0.0018565430128049416,0.003123156470139154,0.0015962799736266788,0.0034007703785959675,0.0026546829996182807,0.004233612103966409,0.0031578582086962555,0.0027240864767324843,0.0021688586598188567,0.0032099108165319083,0.0006419821633063817,0.0021168060519832044,0.002862893430960891,0.0015789291043481278,0.0024117708297185687,0.0033313669014817643,0.003366068640038866,0.0020474025748690007,0.0034354721171530695,0.0028975951695179927,0.0028281916924037896,0.002377069091161467,0.0020994551827046536,0.0017871395356907382,0.0032619634243675607,0.0018218412742478398,0.0022903147447687127
0.1377245508982036,0.08134435354642827,0.054229569030952184,0.06308509741081218,0.03740406510921818,0.026144893311967614,0.020789407101290378,0.029644935481150374,0.024542464367040568,0.023235219701442187,0.014084507042253521,0.025006325377414186,0.01876528632875095,0.015602597621658092,0.016192966180315425,0.015307413342329426,0.014717044783672093,0.007000084338365522,0.006451884962469428,0.015855612718225522,0.011596525259340474,0.012903769924938855,0.006030193134857046,0.009108543476427427,0.008686851648815046,0.006494054145230665,0.008686851648815046,0.007885637176351523,0.01564476680441933,0.00662056169351438,0.008096483090157713,0.004680779286497428,0.008560344100531333,0.009530235304039807,0.007168761069410475,0.010921818335160665,0.009277220207472379,0.011723032807624188,0.006409715779708189,0.003963903179556381,0.006747069241798094,0.004975963565826094,0.006198869865901999,0.005397655393438475,0.004807286834781142,0.0029940119760479044,0.0075904528970228554,0.003373534620899047,0.007253099434932951,0.003373534620899047,0.006198869865901999,0.00573500885552838,0.0033313654381378088,0.0032470270726153326,0.006198869865901999,0.00573500885552838,0.005271147845154761,0.004933794383064856,0.003879564814033904,0.001939782407016952,0.004132579910601332,0.002614489331196761,0.004090410727840095,0.003415703803660285,0.0036687189002277136,0.00573500885552838,0.0021084591380619044,0.005988023952095809,0.0013494138483596187,0.0017711056759719998,0.0026988276967192374,0.003373534620899047,0.0025301509656742854,8.433836552247617e-05,0.0016867673104495236,0.0021084591380619044,0.0021506283208231423,0.0032048578898540947,0.0027831660622417136,0.0016445981276882854,0.002951842793286666,0.0027831660622417136,0.001939782407016952,0.0024458126001518092,0.0026988276967192374,0.0024458126001518092,0.002487981782913047,0.000969891203508476,0.0018554440414944758,0.0019819515897781903
0.13810650359326876,0.07329375530062938,0.046824086059902695,0.05557291434182922,0.03896799535776459,0.02816587064232469,0.023121903316520108,0.023434361469446056,0.02280944516359416,0.02231843949471053,0.017988662232736687,0.015265812614382002,0.013971343123688792,0.011739499174217738,0.019149221086461634,0.013212516180868633,0.013748158728741687,0.011471677900281212,0.010802124715439896,0.01557827076730795,0.01013257153059858,0.010087934651609159,0.008882738918894791,0.014819443824487792,0.010400392804535107,0.0048207829308574745,0.007677543186180422,0.007722180065169843,0.01682810337901174,0.012766147390974423,0.0048654198098468954,0.0034370396821854217,0.012900058027942687,0.009061286434852475,0.006918716243360264,0.008302459492032318,0.00839173325001116,0.013614248091773423,0.008659554523947685,0.005579609873677632,0.006115252421550685,0.010489666562513949,0.007856090702138106,0.005534972994688211,0.007454358791233317,0.004106592867026738,0.005401062357719948,0.003035307771280632,0.005579609873677632,0.00419586662500558,0.004240503503995001,0.007365085033254475,0.002856760255322948,0.0027674864973441056,0.007454358791233317,0.006115252421550685,0.00629379993750837,0.004508324777931527,0.0031692184082488953,0.001473017006650895,0.005668883631656475,0.0033924028031960007,0.00379413471410079,0.005043967325804579,0.006070615542561264,0.002856760255322948,0.003749497835111369,0.005088604204794,0.002187207070481632,0.0025889389813864216,0.002053296433513369,0.0028121233763335265,0.003704860956121948,0.00013391063696826318,0.0027674864973441056,0.0020086595545239475,0.002990670892291211,0.002856760255322948,0.004106592867026738,0.0027228496183546846,0.002455028344418158,0.0032584921662277373,0.0027228496183546846,0.0031245815292594743,0.0026782127393652636,0.0027674864973441056,0.003035307771280632,0.0012498326117037896,0.002856760255322948,0.0018301120385662635
0.13065613798119383,0.06026287079848304,0.04436594108784872,0.05683412125305211,0.045508857602992364,0.03330043119123071,0.02659878435243389,0.02805340537170762,0.028365109875837707,0.022858330302872876,0.024728557327653385,0.014961816198244065,0.01662424022027118,0.010546002389734532,0.012935736921398515,0.02015689126707881,0.017871058236791523,0.0024936360330406774,0.0020260792768455505,0.01662424022027118,0.010130396384227752,0.01075380539248792,0.014754013195490676,0.011221362148683049,0.012520130915891735,0.003480700296119279,0.007688711101875422,0.011325263650059744,0.024157099070081563,0.004571666060574575,0.005298976570211439,0.0025975375344173724,0.007377006597745338,0.006805548340173516,0.0033248480440542364,0.007584809600498727,0.00955893812665593,0.005558730323653177,0.005714582575718219,0.008000415606005506,0.005818484077094914,0.01605278196269936,0.005818484077094914,0.006130188581224999,0.00836407086082394,0.004987272066081355,0.005506779572964829,0.006182139331913346,0.0030650942906124993,0.006182139331913346,0.005766533326406567,0.0050392228167697025,0.006234090082601694,0.005143124318146397,0.006182139331913346,0.005714582575718219,0.006441893085355083,0.0059743363291599565,0.002805340537170762,0.0020780300275338977,0.004156060055067795,0.0037924048002493634,0.004208010805756143,0.0019221777754688555,0.0026494882851057196,0.0002597537534417372,0.007169203594991948,0.001974128526157203,0.005662631825029872,0.0032209465426775415,0.00244168528235233,0.003272897293365889,0.0025975375344173724,0.00244168528235233,0.003480700296119279,0.0023897345316639825,0.003480700296119279,0.0018182762740921606,0.0030650942906124993,0.003480700296119279,0.0030650942906124993,0.004208010805756143,0.0045197153098862275,0.001402670268585381,0.002909242038547457,0.0029611927892358044,0.0024936360330406774,0.001870227024780508,0.0017143747727154657,0.003688503298872669
